titulo,precio,calle,latitud,longitud,metros,habitaciones,baños,año_construccion,terraza,balcon,garaje,ascensor,jardin,piscina,aire_acondicionado,ocupado,habitable,reforma,fecha_publicacion,publicacion_mes,publicacion_dia_semana,antiguedad_dias,zona_Cala Sant Francesc - Santa Cristina,zona_Centre,zona_Els Pavos,zona_Els Pins,zona_La Plantera,zona_Mont Ferrant - Sant Joan,zona_Semicentre,zona_Urbanitzacions,tipo_casa,tipo_estudio,tipo_otro,tipo_piso,precio_m2,ratio_habitaciones_baños,n_extras,zona
Casa o chalet en venta en Cala Sant Francesc - Santa Cristina,529000,carrer de sant francesc,41.68812440873454,2.8021213149376165,207,5,3,1988.0,0,0,1,0,0,1,0,0,1,0,2025-04-01,4,1,8,1,0,0,0,0,0,0,0,1,0,0,0,2555.5555555555557,1.6666666666666667,2,Cala Sant Francesc - Santa Cristina
Dúplex en venta en calle de la Vila de Lloret,350000,carrer de la vila de lloret,41.688336306084,2.801692710651307,190,5,2,1986.0,1,0,0,1,0,0,0,0,1,0,2025-02-12,2,2,56,0,0,0,0,0,1,0,0,0,0,0,1,1842.1052631578948,2.5,2,Mont Ferrant - Sant Joan
Casa o chalet en venta en Mont Ferrant - Sant Joan,549000,carrer mas vaixeller,41.67847922230874,2.779174254327162,180,5,4,1971.0,0,0,1,0,1,0,0,0,1,0,2025-04-01,4,1,8,0,0,0,0,0,1,0,0,1,0,0,0,3050.0,1.25,2,Mont Ferrant - Sant Joan
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,3600000,carrer de sant francesc,41.68812440873454,2.8021213149376165,295,4,5,1983.0,1,0,1,0,1,0,0,0,1,0,2025-04-03,4,3,6,1,0,0,0,0,0,0,0,1,0,0,0,12203.389830508475,0.8,3,Cala Sant Francesc - Santa Cristina
Piso en venta en calle Espronceda,112000,carrer espronceda,41.66841556114663,2.774977175572961,54,1,1,2007.0,0,0,0,1,0,0,1,0,1,0,2025-02-18,2,1,50,0,0,0,0,1,0,0,0,0,0,0,1,2074.074074074074,1.0,2,La Plantera
Chalet pareado en venta en calle de Raval,425000,carrer de raval,41.67651690114528,2.7922850047117125,280,4,3,2002.0,1,0,0,0,0,0,0,0,1,0,2025-04-08,4,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1517.857142857143,1.3333333333333333,1,Centre
Piso en venta en Els Pins,280000,carrer vila de paris,41.66407367300141,2.783408558724116,88,3,2,1967.0,1,0,0,1,0,0,1,0,1,0,2025-04-07,4,0,2,0,0,0,1,0,0,0,0,0,0,0,1,3181.818181818182,1.5,3,Els Pins
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,1250000,carrer de sant francesc,41.68812440873454,2.8021213149376165,455,4,6,1993.0,1,0,1,0,1,0,1,0,1,0,2025-03-28,3,4,12,1,0,0,0,0,0,0,0,1,0,0,0,2747.252747252747,0.6666666666666666,4,Cala Sant Francesc - Santa Cristina
Piso en venta en La Plantera,145000,carrer béjar,41.66839367930616,2.775473038042611,64,2,1,1970.0,0,1,0,1,0,1,1,0,1,0,2025-03-13,3,3,27,0,0,0,0,1,0,0,0,0,0,0,1,2265.625,2.0,4,La Plantera
Piso en venta en Semicentre,207900,"carrer anselm clavé,62",41.677296,2.7873864,112,3,2,1986.0,0,1,0,1,0,0,1,0,1,0,2025-03-02,3,6,38,0,0,0,0,0,0,1,0,0,0,0,1,1856.25,1.5,3,Semicentre
